Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity,City
Hatchback,75523,2,Hyundai,Hyundai i10,2011,312000,Petrol,Comprehensive,Manual,20.36,1197,78.9,Red,5,Bangalore
SUV,47000,1,Mahindra,Mahindra XUV500,2015,1275000,Diesel,Third Party insurance,Manual,16.0,2179,140.0,Silver,7,Bangalore
SUV,36500,1,Tata,Tata Harrier,2022,1989999,Diesel,Third Party insurance,Manual,16.35,1956,167.67,White,5,Bangalore
MUV,28253,1,Renault,Renault Triber,2020,719000,Petrol,Third Party insurance,Manual,20.0,999,71.01,Silver,7,Bangalore
SUV,50000,1,Hyundai,Hyundai Creta,2016,1260000,Diesel,Comprehensive,Manual,19.67,1582,126.2,White,5,Bangalore
Hatchback,90000,2,Hyundai,Hyundai i10,2010,300000,Petrol,Third Party insurance,Manual,20.36,1197,78.9,Others,5,Bangalore
SUV,70000,2,BMW,BMW X5,2016,3981000,Diesel,Comprehensive,Automatic,15.97,2993,258.0,Others,5,Bangalore
Hatchback,52571,1,Hyundai,Hyundai i20,2016,627000,Petrol,Comprehensive,Manual,18.6,1197,81.83,Grey,5,Bangalore
Sedan,70000,2,BMW,BMW 3 Series,2010,1300000,Diesel,Third Party insurance,Automatic,16.07,1995,181.0,Others,5,Bangalore
Sedan,61993,1,Honda,Honda City,2015,672000,Petrol,Comprehensive,Manual,17.4,1497,117.3,Silver,5,Bangalore
SUV,57000,1,Hyundai,Hyundai Tucson,2017,1825000,Diesel,Third Party insurance,Automatic,16.38,1995,182.46,White,5,Bangalore
SUV,80000,2,Toyota,Toyota Fortuner,2021,3500000,Diesel,Comprehensive,Manual,14.24,2755,174.5,Others,7,Bangalore
Hatchback,36359,1,Hyundai,Hyundai i20,2013,440000,Petrol,Comprehensive,Manual,18.5,1197,82.85,Blue,5,Bangalore
SUV,70000,2,Tata,Tata Harrier,2019,1460000,Diesel,Comprehensive,Manual,17.0,1956,138.1,Others,5,Bangalore
SUV,7500,1,MG,MG Hector,2022,2041000,Petrol,Comprehensive,Automatic,17.0,1451,141.0,White,5,Bangalore
Sedan,30301,1,Hyundai,Hyundai Verna,2017,1033000,Petrol,Comprehensive,Automatic,17.0,1591,121.3,Black,5,Bangalore
Hatchback,66000,1,Hyundai,Hyundai i10,2010,275000,Petrol,Third Party insurance,Manual,20.36,1197,78.9,Golden,5,Bangalore
Hatchback,56010,1,Hyundai,Hyundai i20,2017,676000,Petrol,Third Party insurance,Manual,18.6,1197,81.83,White,5,Bangalore
SUV,47000,1,Mercedes-Benz,Mercedes-Benz GLC,2017,4290000,Diesel,Third Party insurance,Automatic,17.9,2143,170.0,White,5,Bangalore
SUV,60000,2,Nissan,Nissan Terrano,2014,650000,Diesel,Comprehensive,Manual,19.01,1461,108.5,Others,5,Bangalore
Hatchback,83829,1,Maruti,Maruti Swift,2014,444000,Diesel,Comprehensive,Manual,25.2,1248,74.0,Red,5,Bangalore
Hatchback,10000,1,Renault,Renault KWID,2020,509999,Petrol,Third Party insurance,Automatic,22.0,999,67.0,Others,5,Bangalore
SUV,35000,2,Renault,Renault Duster,2016,925000,Diesel,Third Party insurance,Automatic,19.6,1461,108.45,Grey,5,Bangalore
Sedan,51116,2,Honda,Honda City,2019,1024000,Petrol,Comprehensive,Automatic,18.0,1497,117.6,White,5,Bangalore
Sedan,80000,3,Skoda,Skoda Rapid,2016,500000,Diesel,Comprehensive,Manual,21.14,1498,103.52,Others,5,Bangalore
Hatchback,40000,2,Volkswagen,Volkswagen Polo,2017,994999,Petrol,Third Party insurance,Automatic,17.21,1197,103.5,Others,5,Bangalore
SUV,85565,2,Honda,Honda CR-V,2012,935000,Petrol,Comprehensive,Automatic,11.1,2354,158.8,White,5,Bangalore
SUV,36916,1,Ford,Ford Ecosport,2018,834000,Petrol,Comprehensive,Manual,17.0,1497,121.36,Others,5,Bangalore
Hatchback,90000,1,Volkswagen,Volkswagen Polo,2015,560000,Diesel,Third Party insurance,Manual,20.14,1498,88.8,Others,5,Bangalore
Hatchback,112795,1,Maruti,Maruti Swift,2012,454000,Petrol,Comprehensive,Manual,22.38,1197,88.5,Silver,5,Bangalore
Sedan,11000,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,3690000,Petrol,Third Party insurance,Automatic,22.38,1332,160.92,Silver,5,Bangalore
MUV,120000,2,Toyota,Toyota Innova,2014,1100000,Petrol,Comprehensive,Manual,11.4,1998,130.1,Others,7,Bangalore
Hatchback,36685,2,Honda,Honda Brio,2016,462000,Petrol,Third Party,Manual,19.4,1198,86.8,Red,5,Bangalore
SUV,120000,2,Hyundai,Hyundai Santa Fe,2012,900000,Diesel,Comprehensive,Automatic,11.72,2199,194.3,Others,7,Bangalore
Sedan,4000,1,BMW,BMW 6 Series,2022,7900000,Petrol,Comprehensive,Automatic,13.32,1998,254.79,Blue,4,Bangalore
Hatchback,32184,2,Maruti,Maruti Baleno,2019,843000,Petrol,Comprehensive,Automatic,21.4,1197,83.1,Silver,5,Bangalore
Hatchback,32279,1,Maruti,Maruti Baleno RS,2018,799000,Petrol,Third Party insurance,Manual,21.1,998,100.5,White,5,Bangalore
Hatchback,59698,1,Hyundai,Hyundai i20,2015,576000,Petrol,Third Party,Manual,18.6,1197,81.83,White,5,Bangalore
SUV,46071,1,Renault,Renault Captur,2018,949000,Diesel,Comprehensive,Manual,20.37,1461,108.45,Grey,5,Bangalore
SUV,90000,1,Maruti,Maruti Vitara Brezza,2017,795000,Diesel,Third Party,Manual,24.3,1248,88.5,Yellow,5,Bangalore
SUV,9554,1,Hyundai,Hyundai Venue,2019,1085000,Petrol,Comprehensive,Manual,18.27,998,118.35,Blue,5,Bangalore
SUV,14000,1,Jeep,Jeep Compass,2022,2590000,Petrol,Comprehensive,Automatic,14.1,1368,160.77,Green,5,Bangalore
SUV,74499,2,Renault,Renault Duster,2013,516000,Diesel,Third Party insurance,Manual,20.45,1461,83.8,Brown,5,Bangalore
SUV,56211,2,Ford,Ford Ecosport,2017,777000,Petrol,Comprehensive,Automatic,14.8,1497,121.36,Grey,5,Bangalore
Hatchback,9001,1,Honda,Honda Jazz,2019,753000,Petrol,Third Party insurance,Manual,18.2,1199,88.7,White,5,Bangalore
SUV,65457,2,Mahindra,Mahindra XUV500,2017,1226000,Diesel,Comprehensive,Automatic,16.0,1997,140.0,Orange,7,Bangalore
Hatchback,23682,1,Honda,Honda Jazz,2017,725000,Petrol,Comprehensive,Manual,18.7,1199,88.7,Red,5,Bangalore
Sedan,50000,1,Hyundai,Hyundai Verna,2020,1150000,Diesel,Third Party insurance,Manual,22.0,1582,126.2,Red,5,Bangalore
Hatchback,134557,2,Maruti,Maruti Swift,2015,629000,Diesel,Comprehensive,Manual,25.2,1248,74.0,White,5,Bangalore
Sedan,96567,2,Maruti,Maruti Swift Dzire,2013,447000,Petrol,Comprehensive,Manual,22.41,1197,88.5,Blue,5,Bangalore
Hatchback,120000,3,Maruti,Maruti Celerio,2015,400000,Petrol,Comprehensive,Manual,23.1,998,67.04,White,5,Bangalore
MUV,83007,2,Maruti,Maruti Ertiga,2014,786000,Diesel,Comprehensive,Manual,20.77,1248,88.8,White,7,Bangalore
Hatchback,34000,1,Honda,Honda Jazz,2018,745000,Petrol,Third Party insurance,Manual,18.7,1199,88.7,Maroon,5,Bangalore
Hatchback,81634,1,Hyundai,Hyundai Grand i10,2014,490000,Petrol,Third Party insurance,Automatic,18.9,1197,82.0,White,5,Bangalore
Sedan,57284,2,Honda,Honda City,2017,942000,Petrol,Third Party insurance,Automatic,18.0,1497,117.6,Brown,5,Bangalore
SUV,70000,2,Ford,Ford Ecosport,2016,675000,Petrol,Comprehensive,Automatic,15.63,1499,110.4,Silver,5,Bangalore
Hatchback,70000,2,Honda,Honda Brio,2013,330000,Petrol,Third Party insurance,Manual,19.4,1198,86.8,Red,5,Bangalore
Sedan,46429,2,Toyota,Toyota Yaris,2018,875000,Petrol,Third Party insurance,Automatic,17.8,1496,105.5,White,5,Bangalore
Hatchback,17624,1,Maruti,Maruti Baleno,2017,869000,Petrol,Third Party insurance,Manual,21.4,1197,83.1,White,5,Bangalore
Sedan,100000,2,Volkswagen,Volkswagen Vento,2012,425000,Diesel,Third Party insurance,Manual,20.54,1598,103.6,Blue,5,Bangalore
Sedan,30000,1,Honda,Honda City,2019,1070000,Petrol,Third Party insurance,Manual,17.4,1497,117.6,Others,5,Bangalore
SUV,49690,2,Ford,Ford Ecosport,2018,1025000,Petrol,Third Party insurance,Manual,15.9,1496,120.69,Blue,5,Bangalore
SUV,110000,1,Mahindra,Mahindra XUV500,2016,1000000,Diesel,Comprehensive,Manual,16.0,2179,140.0,White,7,Bangalore
Sedan,50000,1,Fiat,Fiat Linea,2009,375000,Petrol,Third Party insurance,Manual,16.0,1368,90.0,Gray,5,Bangalore
Sedan,50000,1,Fiat,Fiat Linea,2009,375000,Petrol,Third Party insurance,Manual,16.0,1368,90.0,Gray,5,Bangalore
